index,mode,height,width,class,path
3236,RGB,572,530,3d block diagram,/20d/sha1-20d21342df919808ccdd5d616c571fbe12e683f9.jpg
3237,RGB,1040,1388,photomicrograph,/20d/sha1-20d863f8655fc5a2a975ebbdb701fc9f6cceff41.jpg
3238,RGB,566,853,profile,/20d/sha1-20da446a2eb60faa8add828aaa8e936599739d70.jpg
3239,RGB,165,886,hand sample photograph,/20d/sha1-20ddfe8330854516feac6178b2f9810463040c6f.jpg
3240,RGB,1417,2776,geological map,/20e/sha1-20e26b0c2980aab1e41b24be43721ccebc431e91.jpg
3241,RGB,872,1250,scanning electron microscope image,/20e/sha1-20e3728d0571ac4bc62977f320db055c24579ea0.png
3242,RGB,496,600,profile,/20e/sha1-20e3c4f3a0993d377d5f58be9927635133700c23.jpg
3243,RGB,333,500,outcrop photograph,/20e/sha1-20e7893d0d6d9779f62f6d6755d24c3afde06de7.jpg
3244,RGB,1040,1388,photomicrograph,/20e/sha1-20e7c0a21b2104285173a2b33b422ab034798755.jpg
3245,RGBA,1554,2304,structure contour map,/20e/sha1-20ea9f6bc0bdcf1b0bae2f60842e2666fbcac355.png
3246,RGB,878,1299,geological map,/20e/sha1-20eb35fb7005bea0ada6f99cebd548baaaed689a.jpg
3247,RGB,600,1000,bar chart,/20e/sha1-20eca39e734ac3ff5acd7b762417b887702c11c0.png
3248,RGB,260,176,outcrop photograph,/20e/sha1-20ed52a6ca9001554194e3cde2022289588401d9.jpg
3249,RGB,414,938,photomicrograph,/20f/sha1-20f1efb02928aea7c5143c32349269e918f05fff.jpg
3250,RGB,600,800,oil ship photograph,/20f/sha1-20f437f65cdeb959acf71dad87433c3f02fa3213.jpg
3251,RGB,3333,5000,oil ship photograph,/20f/sha1-20f93bafb0ae60cb717ff76edfa58655bed61620.jpg
3252,RGB,1040,1388,photomicrograph,/20f/sha1-20fbeae30cbd4f1498f3c6c1b7049c617a7379c4.jpg
3253,RGBA,770,924,ternary diagram,/20f/sha1-20ff1002c7956dbaa8f289a43cec84585364301c.png
3254,RGB,548,790,reference map,/210/sha1-2100935af263b5ee0f970a8de6587156e90a76fe.jpg
3255,P,400,400,bar chart,/210/sha1-2103d52ef8b6a68a713e93bf7d41397233b4fba6.png
3256,RGB,1040,1388,photomicrograph,/210/sha1-210417434ef5dea8111f1e1a077ea5ddc55159ad.jpg
3257,RGB,720,960,profile,/210/sha1-2105b0d3cca8302a9b960b92b07ecc73d1bb6856.jpg
3258,RGB,1649,1111,line graph,/210/sha1-21072a47ff40ce6856f4704dfc9bcacef18dcc47.jpg
3259,RGB,1040,1388,photomicrograph,/210/sha1-210955c51a562d807a8de3a2ef0aa91020ff3518.jpg
3260,RGB,863,647,outcrop photograph,/210/sha1-210a4beb4d12ecc76ba4befd6d020207a999c9bb.jpg
3261,RGB,647,709,3d block diagram,/210/sha1-210b4e22a032be0d468c98f032e172d19fd06d77.jpg
3262,RGB,1040,1388,photomicrograph,/211/sha1-21116686925d8af6429acf0ad3c4a917322ebd55.jpg
3263,RGB,1040,1388,photomicrograph,/211/sha1-211b3b60eab3f59377b0bd33b609d7d749e5756c.jpg
3264,P,184,274,line graph,/212/sha1-2129f918f598aab62b0c72254d2219b9fbc8de15.png
3265,RGB,469,872,table,/212/sha1-212a0fb0340c4e1832ee5f2a7f7285eca3d4c94a.png
3266,RGB,1040,1388,photomicrograph,/212/sha1-212eac113c1a1d4c9fc40e880f2cd9091b437f2f.jpg
3267,RGB,414,278,person portrait photograph,/212/sha1-212f48dbd168eadea50ae047491eedc07fed77a9.jpg
3268,RGB,1040,1388,photomicrograph,/213/sha1-213083f618c6915bfa9a41e98e4b9385a6c64f07.jpg
3269,RGB,171,294,3d visualization,/213/sha1-213258394db77be0cb5ecc286f5649d24b254532.jpg
3270,RGB,1040,1388,photomicrograph,/213/sha1-2132feb48f1d9ce8bf7652f35c1e7a9cd18c4aca.jpg
3271,RGB,1040,1388,photomicrograph,/213/sha1-2135ee1770d2df1f07ceb555002e6fd2a158219e.jpg
3272,RGB,506,738,box plot,/213/sha1-2136de9884ca95b70be4e63da926a4c85eab2a15.png
3273,RGB,220,161,person portrait photograph,/213/sha1-213701fa880afe879b9d87975866ec4781edb1d5.jpg
3274,RGB,410,265,reference map,/213/sha1-21372b0ef040de3db2321c57e88fb6cde0eb60b3.jpg
3275,RGB,566,848,oil ship photograph,/213/sha1-21388f79f7cb62eb49b9b61bf6a7892a9084f562.jpg
3276,RGB,1188,1679,reference map,/213/sha1-213a6ba656b36a6a3509daa72e308ff5b01bbfdc.jpg
3277,RGBA,1122,1516,stratigraphic isoattribute map,/213/sha1-213c712de6a305e8b24d7b435a63331af80270c7.png
3278,RGB,173,330,table,/214/sha1-21411cc83ab4d3e77d26a197e487b402942e4646.png
3279,RGB,1546,944,outcrop photograph,/214/sha1-21433f092c83974543a697eed1f3c5d4247053b5.jpg
3280,RGB,2067,1772,outcrop photograph,/214/sha1-2143b82c074762cbe4ae8d022ac05ca2041620e2.png
3281,RGB,1040,1388,photomicrograph,/214/sha1-2144098194c575ecf269b77612dd90a1771d8327.jpg
3282,RGB,207,260,outcrop photograph,/215/sha1-21502c202ae5b58ec80f02df5ecbfcda0afff714.jpg
3283,RGB,375,500,outcrop photograph,/215/sha1-21517fd4fb96d6a6f97159b7ab573b4d0903b0b1.jpg
3284,RGB,361,643,oil rig photograph,/215/sha1-215224cd9d30a3335597a7453627068df96572aa.jpg
3285,P,153,306,box plot,/215/sha1-215465591c6d8b202569a52cbe657cf6b50cf60e.png
3286,RGB,1040,1388,photomicrograph,/215/sha1-21546cb01d882edcdf63c2a1c1654e7bc51dacd0.jpg
3287,RGB,1391,949,microfossil photograph,/216/sha1-216322cc806eb19f666e573395e624b251c8426f.jpg
3288,RGBA,240,336,geotectonic map,/216/sha1-2166e6fad2f9dc8a6168f65b4915d96fab7f7c05.png
3289,RGBA,922,1637,table,/216/sha1-2166f2a621bd1d7ed956ad921005103fd06ec29a.png
3290,RGB,720,723,well core photograph,/216/sha1-2168bd92f748b4f44c480c2d9c0b6d9e4c5b9ed2.jpg
3291,RGB,502,640,photomicrograph,/216/sha1-21690351433e4e67d10d4ec5c43fc8726d102d5c.jpg
3292,RGBA,326,550,3d visualization,/216/sha1-216c36ce75041608902e1cda9e2505bc7af503ae.png
3293,RGB,1040,1388,photomicrograph,/216/sha1-216d3f157ca0a510def8426401e1ed7abe59c6ef.jpg
3294,RGB,1040,1388,photomicrograph,/217/sha1-2171f6f7f54b53b18457d72903d9f7b1dce3b91b.jpg
3295,RGB,256,228,scanning electron microscope image,/217/sha1-21723721e2f50fdfb6910bba179e81fe891c242d.jpg
3296,RGB,1640,2480,3d block diagram,/217/sha1-217304ee60e2009d24cb01c0d33e9b3598ae09ab.jpg
3297,RGB,161,595,outcrop photograph,/217/sha1-217634627830c425cb3130d83fa322236c5b0acc.jpg
3298,RGB,469,572,stereogram,/217/sha1-21766c5fd86869f10058962e2b687f47c101b7be.jpg
3299,RGB,785,958,well core photograph,/217/sha1-217cccb18fb0bae3c29a60a4fc3a9cd08f8b54ee.jpg
3300,RGB,400,536,3d block diagram,/218/sha1-2181f9a81fba8e38d963e8ceaa2600d18ee04288.jpg
3301,RGB,1040,1388,photomicrograph,/218/sha1-21878a69bd52a33d197ed8fe0e6e29cd6b6e419f.jpg
3302,RGB,1040,1388,photomicrograph,/218/sha1-218c07bc582e35f8a3b6f732029675685098af72.jpg
3303,RGB,1726,1265,profile,/219/sha1-21919bcbdf06ae527d6e77d8d2d883a70910ece9.png
3304,RGB,1524,2236,table,/219/sha1-2191e0f5c74fa30c483d9911e80f23168888c9d4.jpg
3305,RGB,1040,1388,photomicrograph,/219/sha1-219385958f0ff3b738df31b4450ec94743ebb867.jpg
3306,RGB,1081,1769,3d block diagram,/219/sha1-2197a82a7da84a00fbb546a3fc5281c685a4357b.jpg
3307,RGB,1040,1388,photomicrograph,/219/sha1-2197b9d281a09793e31d7b6b13fabaa4489034a9.jpg
3308,RGBA,407,800,box plot,/219/sha1-21980c578e05f52530d152f9c5e9fc3bfbace83e.png
3309,P,171,294,fluxogram,/219/sha1-219be3a0b05b339b0438552b01cb1ecff53a7dce.png
3310,RGB,600,800,3d block diagram,/219/sha1-219df5099de245d8dc09a07615a07e510a24103a.jpg
3311,RGB,665,80,well core photograph,/219/sha1-219e9c87d50497bde54e4131bdf9622b74c9fbd4.jpg
3312,RGB,143,352,ternary diagram,/21a/sha1-21aa9e90150ed97953fb9d2bdb177cb7b4cd38e5.jpg
3313,RGB,1430,1146,geological map,/21a/sha1-21ac077f81ad17946b35cdcff17d5598514ee200.png
3314,RGB,1040,1388,photomicrograph,/21b/sha1-21b4c2719ec58ab36de207e8e5a18ba99db8e951.jpg
3315,RGB,1002,1126,geology sketch,/21b/sha1-21b56d8f42ce14cb2bfe7873f960cbe87dad55ff.jpg
3316,RGB,1280,1791,reference map,/21b/sha1-21b6263fe49b46579a495e731ec5196d605a16c6.png
3317,RGB,305,637,geological map,/21b/sha1-21b6a3b044c71f72ffecf4cf2b061c4f4e52cf74.jpg
3318,RGB,265,190,photomicrograph,/21b/sha1-21ba03814fe13155c03b6b8a5424418f79ebe4f1.jpg
3319,RGB,709,1124,well core photograph,/21b/sha1-21bc4a9a8459bf5d393d3af73059ae899253f120.jpg
3320,RGB,341,800,equipment photograph,/21b/sha1-21be509f09946fce83371e04c5ff64a418e414be.jpg
3321,RGB,332,499,outcrop photograph,/21b/sha1-21be7c2decdc060b5a29a8d522027dabf91d41cd.jpg
3322,RGB,1040,1388,photomicrograph,/21c/sha1-21c28e06f5a2c1e9cb377237e9d668c4c2489858.jpg
3323,RGB,2072,2145,reference map,/21c/sha1-21c32f07f953288009be3d7d46230a9a595f6c91.jpg
3324,RGB,683,1024,oil rig photograph,/21c/sha1-21c3d3a6f4920241910e0700313c36d0045d1802.jpg
3325,RGBA,241,368,table,/21c/sha1-21c67306668ff98aa1a8ba26d5bc295439f199f5.png
3326,RGB,306,165,equipment sketch,/21c/sha1-21c737bf068efa73dcab1844f326cb3b028c27bb.jpg
3327,RGB,1040,1388,photomicrograph,/21c/sha1-21c7784069cac927a4baeeef6e2f45e2d29d3308.jpg
3328,RGB,1728,1268,profile,/21c/sha1-21c8fe7b8789ee8923c96d5df76102b4d05bf228.png
3329,RGB,1040,1388,photomicrograph,/21c/sha1-21cca17e95749aeba013f859e5a027395a3e63f3.jpg
3330,RGB,540,546,reference map,/21c/sha1-21cccbfc1894d77274275d4c049f9e5261f5e548.png
3331,RGB,1250,1925,line graph,/21c/sha1-21ce14621cde4f80aa312d1650e93a7f2c19b827.png
3332,P,390,677,diffractogram,/21c/sha1-21ceb8563cda887ff6871348e71a6ec4e0695e5e.png
3333,RGB,375,500,outcrop photograph,/21d/sha1-21d4093c3e66864a0f9a3ab837e9b1961f175334.jpg
3334,RGB,1040,1388,photomicrograph,/21d/sha1-21d4a2d1fead7da841526db9bef4bb561f3ccb36.jpg
3335,RGB,507,513,aerial photograph,/21d/sha1-21d63edd1f1cabe5726c06c8eb97432097cbebf6.jpg
3336,RGB,720,985,oil ship photograph,/21d/sha1-21db2a5f80996adf215c28f1aea4ad89d56df9cf.jpg
3337,RGB,500,373,outcrop photograph,/21d/sha1-21df77798e0b41be4ff4cde70bb252a38e60e569.jpg
3338,RGB,1040,1388,photomicrograph,/21e/sha1-21e24789817c888fbb69ee9c1ab9549b1d07189f.jpg
3339,RGB,731,960,seismic section,/21e/sha1-21e3fadff1ca02b3293ccf14dc0343c39262376f.jpg
3340,RGB,1040,1388,photomicrograph,/21e/sha1-21e47bfd9ad4d64f2f38ccdc3afe55005f9130b2.jpg
3341,RGB,1040,1388,photomicrograph,/21e/sha1-21e50fcaacf01e4459c38bfcd4ba312a75f96bd1.jpg
3342,RGB,1040,1388,photomicrograph,/21e/sha1-21e6c35cb2001db8fc6b37d96c102c5efffa143e.jpg
3343,RGB,360,480,oil ship photograph,/21e/sha1-21e6e55e155314bf0bcd015351979b53b316636f.jpg
3344,RGB,1040,1388,photomicrograph,/21e/sha1-21e8388701e61449be37829b0e585eaf5b013b2f.jpg
3345,RGB,1040,1388,photomicrograph,/21e/sha1-21ea7c658ee5268024139e0db9a95de7dc4a5501.jpg
3346,RGB,744,448,outcrop photograph,/21e/sha1-21eab1ccab8f74e09f986d883bd190faf2944f07.jpg
3347,RGB,1040,1388,photomicrograph,/21f/sha1-21f01ca7369a1aa6f7cc75ad711ae186ac0f9d4d.jpg
3348,RGB,408,960,3d visualization,/21f/sha1-21f2ba33a7156bc5a27837ead0c1a1df20280638.jpg
3349,RGB,1358,381,geological chart,/21f/sha1-21f2e2577e0c70e5217637339671485db0b26c36.jpg
3350,RGB,3231,2656,photomicrograph,/21f/sha1-21f793c92c9101b0ce74b113bf08a1f3dfdca680.jpg
3351,RGB,1040,1388,photomicrograph,/21f/sha1-21fcc304bd61dd511fe4cbb1da71871c434d47c8.jpg
3352,RGB,286,369,scanning electron microscope image,/220/sha1-2200750f45296682000de6589b4a2ca9fdf1cc4c.jpg
3353,RGB,187,270,3d block diagram,/220/sha1-22035c52fc5646d9af4370b6984ea980e7c6c427.jpg
3354,RGB,408,652,oil ship photograph,/220/sha1-2203e71b6441a6a72b112f0886a425b2fcf3d1e0.jpg
3355,RGB,1040,1388,photomicrograph,/220/sha1-22061982191c2cc4932efe3ab7a18f9ac17ed2a0.jpg
3356,RGB,1040,1388,photomicrograph,/220/sha1-2209da6ed51fd53bb5457859b71af02793c2d42a.jpg
3357,RGB,954,112,well core photograph,/221/sha1-22116d4a9267e54473d2761ac049ea131d27af80.jpg
3358,RGBA,650,1054,submarine arrangement,/221/sha1-2212d7dcd86fbaf1cb67cd74451147a551e20410.png
3359,RGB,1023,1151,reference map,/221/sha1-2212e41834189e4f6ed83b5e26fd35e8e9ce4862.png
3360,RGB,4488,5434,reference map,/221/sha1-22140ab2ea373bd07a79f3a8df84f82f682aa5ff.png
3361,L,1216,932,profile,/221/sha1-22143cab49dae3b2bedc68a7697e7666e9b2206d.png
3362,RGB,170,260,photomicrograph,/221/sha1-2218d757391af25aaf8f72257df2bbf3130909b2.jpg
3363,RGB,1040,1388,photomicrograph,/222/sha1-2220473c1289d6fe49e9919b10185b408528aa26.jpg
3364,RGB,175,260,photomicrograph,/222/sha1-2222bbc09f9ee2b8d75b7cfa36adccc7fc2a986c.jpg
3365,RGB,170,260,photomicrograph,/222/sha1-2223cb46181e80295c57abc43c277445487a7780.jpg
3366,RGB,1040,1388,photomicrograph,/222/sha1-2225755a4504ddfee0e7a21b4d42cbd323a7f3fb.jpg
3367,RGB,615,591,reference map,/222/sha1-222afdd1fbc82f78a12e99a9240ff5813c9bcffd.png
3368,RGB,1040,1388,photomicrograph,/222/sha1-222d9ee2530686f0d88f7be73e01425c81754eb2.jpg
3369,RGB,331,500,box plot,/222/sha1-222ebb3759b03763deeecc079736dc3dce9a6393.jpg
3370,RGB,900,857,3d block diagram,/223/sha1-223409a7eadae9ace13828bab5f02377b6ec3f4b.jpg
3371,RGB,1040,1388,photomicrograph,/223/sha1-223787904a77259e830e5caee963fad39f641bb1.jpg
3372,RGB,2067,1772,geological chart,/223/sha1-223cce28bafa3543a4ade64331da31ad3ac50cf6.png
3373,RGB,166,303,bar chart,/223/sha1-223e7b8e6ecdb381b43f7bbbd1bb1e7896b5ebf1.jpg
3374,RGB,1040,1388,photomicrograph,/224/sha1-2244e1432df5e140103d6f27d8ac0d9c60baaaa0.jpg
3375,RGB,1445,1455,outcrop photograph,/224/sha1-224a964a84d027d5dda3bea07b274381c6ee1df7.jpg
3376,RGB,2377,1800,photomicrograph,/224/sha1-224cd591e3a6e94df7c98dff8433ea79188b85fb.jpg
3377,RGB,791,422,seismic section,/224/sha1-224f6443cb26d04b57e3b97a1f68a5c134ead0b0.jpg
3378,RGB,1040,1388,photomicrograph,/224/sha1-224f7be7bbb21094d76d9beb18d5a3eadf3656a0.jpg
3379,RGBA,1006,720,profile,/224/sha1-224f7c00f7fd82f3a27ea681bd39906b9f69309e.png
3380,RGB,1040,1388,photomicrograph,/224/sha1-224faaea2301e211f0a85dc7dd561071fef5c6bd.jpg
3381,RGB,180,280,3d block diagram,/225/sha1-225048a60d69e0e43323313701ac1c9f43314868.jpg
3382,RGB,1040,1388,photomicrograph,/225/sha1-22546351c34a1953cffbf8bcf3fad0e37f81c046.jpg
3383,P,172,293,bar chart,/225/sha1-22548151f00745e655534b372ab064bca63805b4.png
3384,RGB,1210,1891,reference map,/225/sha1-2255720df3b6bd6318c9d702a1c9ebce24ad6b78.png
3385,RGB,499,334,outcrop photograph,/225/sha1-225a04ec8fd812b371e0db7b1d60caecca4ee9e8.jpg
3386,RGB,2067,1772,table,/225/sha1-225c11644898217f0d69d603d4eee0caf6827c49.png
3387,RGB,2427,1358,geological map,/225/sha1-225c99f315ab7cccb4c78febdb37804615006a5e.jpg
3388,RGB,312,1344,table,/225/sha1-225caa851142bf9358b6c03b2ef8f16727126b6f.png
3389,RGB,549,547,reference map,/225/sha1-225ebcf6eef5071ba495488a69b2c44245940ef7.png
3390,RGB,1040,1388,photomicrograph,/225/sha1-225f242d107f8cea8d31b84c542535c76db8e5a6.jpg
3391,RGB,1040,1388,photomicrograph,/226/sha1-2260fc54edfed14506557f2c88ed4197e9c9499c.jpg
3392,P,177,284,variogram,/226/sha1-226370595d7531eb3eb35abad6a31ef38ff39971.png
3393,RGB,479,638,3d block diagram,/226/sha1-22659f3cc1216b7362177bc7025d849e15b883a4.jpg
3394,RGB,470,650,bar chart,/226/sha1-22681c5f8b254527c445be9eabb447de42db2cff.png
3395,RGB,1040,1388,photomicrograph,/226/sha1-2268361bd11c87c989f19836e845035b273a4467.jpg
3396,RGB,1289,918,scanning electron microscope image,/226/sha1-226be59bb682dd4a4923469f49215cf615343a9d.jpg
3397,RGB,2067,1772,geological chart,/226/sha1-226c8d7967305b95c684d1c47bdff9027ce5bb1d.png
3398,RGB,389,440,van krevelen diagram,/226/sha1-226cccbaca10de9816fa131319dacba53b7fa850.jpg
3399,RGB,507,513,aerial photograph,/227/sha1-2273035373366403fddd3cafed80e9e05319ceb1.jpg
3400,RGB,226,547,hand sample photograph,/227/sha1-22798a64e997d63276d1e773a5d1f5f077c7d92a.png
3401,RGB,189,266,rose diagram,/227/sha1-227c9804f82fb6d3711ead254a82e781a680f353.jpg
3402,RGB,507,516,aerial photograph,/227/sha1-227e5e30e507db2e80902ae6c98c42843c54dbe7.jpg
3403,RGB,1040,1388,photomicrograph,/228/sha1-228138c4dd523e1b48aa68eb0d557c7763b59ea0.jpg
3404,RGB,653,1010,outcrop photograph,/228/sha1-228b784989ed4a1e28fae8cc2df0ffea453906c2.jpg
3405,RGB,486,468,reference map,/228/sha1-228c63545765c56ce1ec2b713dc46a91793c60cb.png
3406,RGB,319,426,photomicrograph,/228/sha1-228d49c77af90be17e87ea1f8d70246a3b1585ac.jpg
3407,RGB,1040,1388,photomicrograph,/229/sha1-2291b9bc048de68d221f0f1e29ecc6f66986adea.jpg
3408,RGB,1040,1388,photomicrograph,/229/sha1-229266f7d0af7177a8b45c7a1c63984ca60eb54c.jpg
3409,RGB,1040,1388,photomicrograph,/229/sha1-2295710fbf28601b8a807cb312c69e88f1e4f56d.jpg
3410,RGB,1040,1388,photomicrograph,/229/sha1-2296b326999e9f1e2a568bce4200dc92d0298660.jpg
3411,RGB,1040,1388,photomicrograph,/229/sha1-22972ef908397211ecc03fcf7d67bd27aaf83b3f.jpg
3412,RGB,902,1261,seismic section,/229/sha1-2298cf4054cfb328b591797b84750765eb9a88ac.jpg
3413,RGB,507,514,aerial photograph,/229/sha1-229c06092bf7c51de7655663de1170c28123122e.jpg
3414,RGB,769,680,reference map,/22a/sha1-22a01e4d9a6215a1b495f0c30550758bca7ff772.jpg
3415,RGB,1040,1388,photomicrograph,/22a/sha1-22a159a8d46533f80aadabe6ec37757f87cb4c36.jpg
3416,RGB,1040,1388,photomicrograph,/22a/sha1-22a1c574b4af6a70f71ee4cbf0fcf0bde690d7ef.jpg
3417,RGB,853,1280,outcrop photograph,/22a/sha1-22a22465bb3967b1cec69eaebfa276d3d0abdbe0.jpg
3418,RGB,499,547,3d block diagram,/22a/sha1-22a598c82b734e2f1a2bc1db9cfea2fb29fee0e1.jpg
3419,RGB,135,209,bar chart,/22a/sha1-22ac3aed84c0af42747b809543b16a7f08271174.png
3420,RGB,1447,2347,geological cross section,/22a/sha1-22af50ee8e5fc5675ed6cbb4b5dcb73c6dfee19b.jpg
3421,RGB,1024,170,well core photograph,/22b/sha1-22b6d9550a70b83c731f9967d8ce6b5b99af3684.jpg
3422,RGB,590,795,scanning electron microscope image,/22b/sha1-22b9f719abf0a9b782f15fdcc69ff374e91abce9.jpg
3423,RGB,482,893,table,/22b/sha1-22bec1f23ed82a74b41ee34b72b8c7d8ab0bf709.png
3424,RGB,1040,1388,photomicrograph,/22c/sha1-22c2cdb2005fff2869036e8d65672b0818101e3c.jpg
3425,RGB,500,432,outcrop photograph,/22c/sha1-22c3be35fc03eaebd191975fe60eda78679e3f4b.jpg
3426,RGB,552,561,reference map,/22c/sha1-22c69a617873530507b0b605f749d62c280c5838.png
3427,RGB,283,367,line graph,/22c/sha1-22cfde6c3f7b896bb610a272dc4a5a42638c89fd.jpg
3428,RGB,1040,1388,photomicrograph,/22d/sha1-22d4856a52e4a002adbfb761aac705e73376c793.jpg
3429,RGB,500,375,outcrop photograph,/22d/sha1-22d94129306863424546d9de38eb539be8d407c3.jpg
3430,RGB,1040,1388,photomicrograph,/22d/sha1-22d96200891cbf6a59c227c00cde055ef3d5a54c.jpg
3431,RGB,730,944,photomicrograph,/22d/sha1-22dad8aede3f0f4ccae3a3e49f38393f8930d6fc.jpg
3432,RGB,1763,1587,outcrop photograph,/22d/sha1-22dae52a24f53706cb1519c46976446ba22663e6.jpg
3433,RGB,591,571,reference map,/22d/sha1-22dedfe42efd8e233f33b376fc73015b56523095.png
3434,RGB,1040,1388,photomicrograph,/22e/sha1-22e035fdfccecdc5847e82a9fcb821489e9cad7c.jpg
3435,RGB,3152,1904,microfossil photograph,/22e/sha1-22e0887da882410bbf1584ede0d3ac2c7694cb2d.jpg
3436,RGB,600,800,outcrop photograph,/22e/sha1-22e4397b4c3b9748fc7bc5c71229780a7b215d54.jpg
3437,RGB,500,375,outcrop photograph,/22e/sha1-22e5481a7a8d098d092d6ea79044aeeaa6bdedbf.jpg
3438,RGB,576,696,ternary diagram,/22e/sha1-22e63654a4877aa55fcd94443b98a70696d42282.jpg
3439,RGB,181,529,table,/22f/sha1-22f00a36847f3490df14433e7ef5f60cae865311.png
3440,RGB,535,1310,scatter plot,/22f/sha1-22f3287ee41cffd5853dd08f6baea41da8cb5aa5.png
3441,RGB,214,235,geological map,/22f/sha1-22f3a309dbf1079fef7d4ce1e596a2a1e07d7c87.jpg
3442,RGB,1417,940,profile,/22f/sha1-22f69d0948455fab9d3450c73aa622f854ff14a1.jpg
3443,RGBA,499,731,fluxogram,/22f/sha1-22f8faa3c3d1a11f13bac758f3b072ce38014d5a.png
3444,RGB,1040,1388,photomicrograph,/22f/sha1-22fbbbab73b2aa875e362a75f96c51f0bb10560b.jpg
3445,RGB,1040,1388,photomicrograph,/230/sha1-23001ab877faad7fe375f24c5823aeef46c53439.jpg
3446,RGB,406,695,outcrop photograph,/230/sha1-23054e052bd270e5b625698216e4acac7ed55000.jpg
3447,RGB,1040,1388,photomicrograph,/230/sha1-2309cbff786f70a6910a75e9eeb1a214e2452876.jpg
3448,RGB,1040,1388,photomicrograph,/230/sha1-230d39912a6e9235ffcd3e6cba30fd3ccca3a03c.jpg
3449,RGB,412,464,hand sample photograph,/231/sha1-2315a00af7a3f67df43ce55b2e493630430a7e4a.jpg
3450,RGB,560,558,reference map,/231/sha1-231683fd473d6a73a9fc0ca434ec669896cb09db.png
3451,RGB,549,750,geology sketch,/231/sha1-2319ef3879de399ecaf87c6dd1e035010f8fb145.png
3452,RGB,1210,1870,geological map,/231/sha1-231a03aae223314d0e8765b20725f7789edea6a6.jpg
3453,RGBA,484,484,sattelite image,/231/sha1-231bce344a531363465855868823a748f1909590.png
3454,RGB,645,631,profile,/232/sha1-232a52d4b94974224c805ff98134ea45d56026f8.png
3455,RGB,1368,1896,reference map,/232/sha1-232bffb8386afbc769d3b678f7420a7f1ec68e74.png
3456,RGB,753,361,microfossil photograph,/232/sha1-232e1e90ab40921491e5e0c2987ed0686ee2d98e.jpg
3457,RGB,1040,1388,photomicrograph,/232/sha1-232edf09a91c861f9e145d5a6de54140c31d88c4.jpg
3458,RGB,185,273,seismic section,/233/sha1-2330b6d4017e53e8951362f494ae582c0c540ad0.jpg
3459,RGB,1040,1388,photomicrograph,/233/sha1-233604b129e384dc9cd85f91b5d96f21e33ba02e.jpg
3460,RGB,1040,1388,photomicrograph,/233/sha1-233a7de10e3056d4a4400068e9c3ec6fa144397c.jpg
3461,RGB,1303,1997,line graph,/233/sha1-233b6f6c05475611349ea813255333c57da1213a.png
3462,RGB,1040,1388,photomicrograph,/233/sha1-233c284f12afdcadad062ba6e6fa973baa429a79.jpg
3463,RGBA,529,766,3d block diagram,/233/sha1-233cd3170f9183dd04462414a2b5f8217d2deaed.png
3464,RGB,1040,1388,photomicrograph,/233/sha1-233e1c39e2f5e0886313f462bd5c3235d0ee1ed1.jpg
3465,RGB,154,326,fluxogram,/233/sha1-233f1c83013fbbfaef52242b9db51ab4e5556737.jpg
3466,RGB,500,375,outcrop photograph,/233/sha1-233f4019fc3fd18a6d142a5486a35f25e751c7d0.jpg
3467,RGB,885,1581,fluxogram,/234/sha1-234501b1abe38840345572a1fcb6f27e71380f47.png
3468,P,130,386,stereogram,/234/sha1-2346f3dedcdc7def531b2951816377107472626e.png
3469,RGB,1040,1388,photomicrograph,/234/sha1-234713090ed43558025f3c68796e4edd3f5ff0f3.jpg
3470,RGB,1192,1965,line graph,/234/sha1-234935da0657e0f316b7c3056d566a138871e68b.png
3471,RGBA,912,1140,photomicrograph,/234/sha1-2349a00df94445a81bc8a7b1a9fc5f21822d19dc.png
3472,RGB,1040,1388,photomicrograph,/235/sha1-235215905310e6c475c0470beba363caf8418c53.jpg
3473,RGB,566,563,reference map,/235/sha1-2352381af206b0a86cb2d95d5329b62f2ad4fcea.png
3474,RGB,2143,2110,table,/235/sha1-2352fdb901bc6a11dc80eb1a3ddc295ec43f1660.jpg
3475,RGB,1040,1388,photomicrograph,/235/sha1-2353ae7149b98696102d0a9f0cb8d7332aa19a73.jpg
3476,L,778,865,reference map,/235/sha1-235812350afd654c4022b0b6bf6cde6a18d30f65.png
3477,RGB,1040,1388,photomicrograph,/235/sha1-2358c8d8b99657768fd283c88cfe50861bed2f28.jpg
3478,RGB,1040,1388,photomicrograph,/235/sha1-235b9024450497032ff0ad10cf7f39e283826b1e.jpg
3479,RGB,1040,1388,photomicrograph,/235/sha1-235c243c8d46a2a36c94822d4df6b9375294213f.jpg
3480,RGB,1040,1388,photomicrograph,/235/sha1-235e3bb2c6e3d89873692a198978d47bc52090fd.jpg
3481,P,294,523,bar chart,/235/sha1-235e6d57bf35bb02211dbb5ff1184b3ec1bebf29.png
3482,RGB,380,588,3d block diagram,/236/sha1-2360660b43fad8cfa156dacc2007bb2932055989.jpg
3483,P,660,648,profile,/236/sha1-2369b931b2110571ed456610cbab46e718ac0df1.gif
3484,RGB,1040,1388,photomicrograph,/236/sha1-236e4920a246c5fa9290379cff3ba442eddce3f1.jpg
3485,P,1179,850,geological chart,/236/sha1-236f2ea29038895559a72595f24c549bfb5f85a1.png
3486,RGB,1040,1388,photomicrograph,/236/sha1-236fbc7d578bc85da79f455d17e3943a3e96f138.jpg
